,id,label,alma,field,award,occupation
0,Q75778,Joseph Weizenbaum,'Wayne State University','computer science',"'The VIZE 97 Prize', ""Commander's Cross of the Order of Merit of the Federal Republic of Germany"", 'Norbert Wiener Award for Social and Professional Responsibility'",artificial intelligence researcher
1,Q92809,Rodney Brooks,"'Flinders University', 'Stanford University'",,"'AAAS Fellow', 'IJCAI Computers and Thought Award', 'ACM Fellow', 'AAAI Fellow', 'AAAS Fellow', 'Fellow of the Australian Academy of Science', 'Corresponding Member of the Australian Academy of Science'",artificial intelligence researcher
2,Q108175,Thomas Wiegand,"'Hamburg University of Technology', 'University of Erlangen-Nuremberg'",,"'IEEE Fellow', 'IEEE Masaru Ibuka Consumer Electronics Award', 'Primetime Emmy Award', 'Forschungspreis Technische Kommunikation', 'Karl Heinz Beckurts Award', 'Q42433243'",artificial intelligence researcher
3,Q204815,Marvin Minsky,"'Harvard University', 'Princeton University', 'Harvard College', 'The Bronx High School of Science', 'Phillips Academy', 'Ethical Culture Fieldston School'","'artificial intelligence', 'computer science', 'philosophy of mind', 'cognitive science'","'Turing Award', 'Benjamin Franklin Medal', 'Japan Prize', 'Dan David Prize', 'R. W. Wood Prize', 'Computer Pioneer Award', 'Harvard Society of Fellows', 'IJCAI Award for Research Excellence', 'BBVA Foundation Frontiers of Knowledge Award', 'doctor honoris causa', 'AAAI Fellow', 'honorary doctor of the Université libre de Bruxelles', 'Computer History Museum fellow', 'honorary doctorate of the Vrije Universiteit Brussel', 'Fellow of the Cognitive Science Society', 'Fellow of the Committee for Skeptical Inquiry'",artificial intelligence researcher
4,Q92739,John McCarthy,"'Princeton University', 'California Institute of Technology', 'Belmont High School'",'artificial intelligence',"'Turing Award', 'Kyoto Prize', 'National Medal of Science', 'Benjamin Franklin Medal', 'Computer Pioneer Award', 'IJCAI Award for Research Excellence', 'Kyoto Prize in Advanced Technology', 'ACM Fellow', 'AAAI Fellow', 'Computer History Museum fellow', 'Programming Languages Achievement Award', 'Fellow of the Cognitive Science Society'",artificial intelligence researcher
5,Q344775,David Levy,'Maastricht University',,,artificial intelligence researcher
6,Q224372,I. J. Good,"'University of Cambridge', 'Jesus College', ""Haberdashers' Aske's Boys' School""","'cosmology', 'cryptography', 'statistics'","""Smith's Prize"", 'Computer Pioneer Award', 'Fellow of the American Statistical Association'",artificial intelligence researcher
7,Q3123640,Ray Solomonoff,'Glenville High School',,,artificial intelligence researcher
8,Q4145096,Vladimir Gorodetski,,'artificial intelligence',,artificial intelligence researcher
9,Q92716,Bernhard Nebel,"'University of Hamburg', 'Saarland University'",,'AAAI Fellow',artificial intelligence researcher
10,Q295012,John Searle,"'Christ Church', 'University of Wisconsin–Madison', 'Shorewood High School'","'philosophy of mind', 'philosophy of language'","'Jean Nicod Prize', 'Rhodes Scholarship', 'Guggenheim Fellowship', 'National Humanities Medal', 'Albertus-Magnus professorate', 'Jovellanos International Essay Award', 'AAAS Fellow'",artificial intelligence researcher
11,Q92890,Richard Wallace,'Carnegie Mellon University','artificial intelligence',,artificial intelligence researcher
12,Q92826,Terry Winograd,"'Massachusetts Institute of Technology', 'Colorado College'",'computer science',"'IJCAI Computers and Thought Award', 'ACM Fellow'",artificial intelligence researcher
13,Q92699,Dieter Fox,'University of Bonn',,,artificial intelligence researcher
14,Q92686,David H. D. Warren,'University of Edinburgh',,,artificial intelligence researcher
15,Q92646,John Henry Holland,"'Massachusetts Institute of Technology', 'University of Michigan', 'University of Michigan College of Literature, Science, and the Arts'",,"'MacArthur Fellows Program', 'Harold Pender Award'",artificial intelligence researcher
16,Q92965,Aravind Joshi,"'University of Pennsylvania', 'Indian Institute of Science'",'computational linguistics',"'IEEE Fellow', 'Benjamin Franklin Medal', 'Guggenheim Fellowship', 'Rumelhart Prize', 'IJCAI Award for Research Excellence', 'ACM Fellow', 'AAAI Fellow', 'Fellow of the Association for Computational Linguistics', 'Fellow of the Cognitive Science Society'",artificial intelligence researcher
17,Q92837,Rollo Carpenter,,,,artificial intelligence researcher
18,Q93119,Donald Michie,"'University of Oxford', 'Balliol College', 'Rugby School'",,"'Fellow of the British Computer Society', 'Fellow of the Royal Society of Edinburgh', 'IJCAI Award for Research Excellence'",artificial intelligence researcher
19,Q1366729,Ronald C. Arkin,"'University of Massachusetts Amherst', 'University of Michigan'",,,artificial intelligence researcher
20,Q3308376,Mike McMahon,,,,artificial intelligence researcher
21,Q2469699,Richard Greenblatt,'Massachusetts Institute of Technology','computer programming',,artificial intelligence researcher
22,Q3017519,David M. Blei,"'Brown University', 'University of California, Berkeley'","'machine learning', 'artificial intelligence', 'topic model'","'Guggenheim Fellowship', 'ACM Fellow', 'ACM Prize in Computing'",artificial intelligence researcher
23,Q3308285,Michael I. Jordan,"'University of California, San Diego'","'machine learning', 'artificial intelligence'","'Rumelhart Prize', 'IJCAI Award for Research Excellence', 'ACM Fellow', 'AAAI Fellow', 'ACM - AAAI Allen Newell Award', 'Fellow of the Society for Industrial and Applied Mathematics', 'AAAS Fellow', 'Fellow of the Cognitive Science Society', 'Fellow of the American Statistical Association'",artificial intelligence researcher
24,Q3571662,Yann LeCun,"'University of Toronto', 'Pierre and Marie Curie University', 'ESIEE Paris'","'artificial intelligence', 'computer science', 'deep learning'","'Turing Award', 'Harold Pender Award', 'AAAI Fellow', 'PAMI Distinguished Researcher Award', 'honorary doctor of the École polytechnique fédérale de Lausanne'",artificial intelligence researcher
25,Q3656334,Stuart J. Russell,"'University of Oxford', 'Stanford University'",'artificial intelligence',"'IJCAI Computers and Thought Award', 'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
26,Q92862,Jaron Lanier,,'computer science',"""Peace Prize of the German Publishers' and Booksellers' Association"", 'Time 100'",artificial intelligence researcher
27,Q93012,Jonathan Schaeffer,"'University of Toronto', 'University of Waterloo'",'artificial intelligence','AAAI Fellow',artificial intelligence researcher
28,Q99613,Ernst Dickmanns,'RWTH Aachen University',,,artificial intelligence researcher
29,Q676914,Earl Busby Hunt,'Stanford University',,"'AAAS Fellow', 'James McKeen Cattell Fellow Award', 'Fellow of the American Psychological Association', 'Fellow of the Association for Psychological Science'",artificial intelligence researcher
30,Q704195,Eliezer Yudkowsky,,"'artificial intelligence', 'decision theory', 'transhumanism', 'friendly artificial intelligence'",,artificial intelligence researcher
31,Q708003,Hans Moravec,"'Stanford University', 'Acadia University', 'Western University'",'robotics',,artificial intelligence researcher
32,Q1900440,Mark Steedman,"'University of Edinburgh', 'University of Sussex'",'computational linguistics',"'Fellow of the Royal Society of Edinburgh', 'AAAI Fellow', 'Fellow of the British Academy', 'Fellow of the Association for Computational Linguistics', 'Fellow of the Cognitive Science Society'",artificial intelligence researcher
33,Q3047095,Jaap van den Herik,"'Delft University of Technology', 'Vrije Universiteit Amsterdam'",,,artificial intelligence researcher
34,Q4027185,Ben Goertzel,"'New York University', 'Temple University'",'artificial intelligence',,artificial intelligence researcher
35,Q4484888,Victor Konstantinovich Finn,"'MSU Faculty of Mechanics and Mathematics', ""Moscow University's Department of Philosophy""",'artificial intelligence',,artificial intelligence researcher
36,Q92834,David Waltz,'Massachusetts Institute of Technology',,"'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
37,Q218823,Joshua Lederberg,"'Columbia University', 'Yale University', 'University of Wisconsin–Madison', 'Stuyvesant High School'","'genetics', 'microbiology'","'Presidential Medal of Freedom', 'Nobel Prize in Physiology or Medicine', 'National Medal of Science', 'Maxwell Finland Award', 'William Procter Prize for Scientific Achievement', 'Foreign Member of the Royal Society', 'ACM Fellow', 'ACM - AAAI Allen Newell Award'",artificial intelligence researcher
38,Q298341,Raymond Kurzweil,"'Massachusetts Institute of Technology', 'Martin Van Buren High School'","'speech synthesis', 'computer programming', 'optical character recognition', 'futures studies', 'speech recognition'","'Dickson Prize', 'Lemelson–MIT Prize', 'National Medal of Technology and Innovation', 'Dickson Prize in Science', 'National Inventors Hall of Fame', 'Grace Murray Hopper Award', 'ACM Fellow'",artificial intelligence researcher
39,Q380459,Kevin Warwick,"'Imperial College London', 'Aston University', 'Lawrence Sheriff School'","'cybernetics', 'robotics'","'Golden Eurydice Award', 'Higginson Lecture', 'Mountbatten Medal', 'Fellow of the Institution of Engineering and Technology'",artificial intelligence researcher
40,Q559334,Douglas B. Lenat,"'Stanford University', 'University of Pennsylvania'","'artificial intelligence', 'ontology', 'knowledge base'","'AAAS Fellow', 'IJCAI Computers and Thought Award', 'AAAI Fellow', 'Fellow of the Cognitive Science Society'",artificial intelligence researcher
41,Q711172,W. Ross Ashby,'Sidney Sussex College','cybernetics','Guggenheim Fellowship',artificial intelligence researcher
42,Q92832,Peter Norvig,"'Brown University', 'University of California, Berkeley'",'computer',"'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
43,Q1406499,Fernand Gobet,'University of Fribourg',,,artificial intelligence researcher
44,Q2020117,Oliver Brock,"'Stanford University', 'Technical University of Berlin'","'machine learning', 'robotics'","'IEEE Fellow', 'Alexander von Humboldt Professorship'",artificial intelligence researcher
45,Q2651957,Oliver Selfridge,"'Massachusetts Institute of Technology', 'Malvern College', 'Middlesex School'",,,artificial intelligence researcher
46,Q3022141,Demis Hassabis,"'University of Cambridge', 'University College London', ""Queens' College""",,"'honorary degree', 'Time 100', 'Mullard Award', 'Commander of the Order of the British Empire', 'Fellow of the Royal Society of Arts', 'Fellow of the Royal Society', 'Fellow of the Royal Academy of Engineering', ""Nature's 10""",artificial intelligence researcher
47,Q91233,Michael Kohlhase,'Saarland University','mathematics',,artificial intelligence researcher
48,Q92824,Judea Pearl,"'New York University Tandon School of Engineering', 'University of California, Los Angeles', 'Technion – Israel Institute of Technology', 'Rutgers University'","'computer science', 'philosophy of science'","'IEEE Fellow', 'Turing Award', 'Benjamin Franklin Medal', 'Dickson Prize in Science', 'Lakatos Award', 'Harvey Prize', 'Rumelhart Prize', 'IJCAI Award for Research Excellence', 'ACM Fellow', 'AAAI Fellow', 'ACM - AAAI Allen Newell Award', 'AAAS Fellow', 'Honorary doctorate from University of Toronto', 'Fellow of the Cognitive Science Society', 'Fellow of the American Statistical Association'",artificial intelligence researcher
49,Q92894,Geoffrey Hinton,'University of Edinburgh',"'machine learning', 'deep learning'","'Turing Award', 'Gerhard Herzberg Canada Gold Medal for Science and Engineering', 'Rumelhart Prize', 'IEEE Frank Rosenblatt Award', 'IJCAI Award for Research Excellence', 'BBVA Foundation Frontiers of Knowledge Award', 'Honda Prize', 'Companion of the Order of Canada', 'Fellow of the Royal Society', 'AAAI Fellow', 'Fellow of the Royal Society of Canada', 'Fellow of the Cognitive Science Society'",artificial intelligence researcher
50,Q92896,Wolfram Burgard,"'University of Bonn', 'TU Dortmund'",,"'Gottfried Wilhelm Leibniz Prize', 'AAAI Fellow', 'EurAI Fellow'",artificial intelligence researcher
51,Q92897,Wolfgang Bibel,'Ludwig Maximilian University of Munich',,"'Herbrand Award', 'AAAI Fellow', 'EurAI Fellow'",artificial intelligence researcher
52,Q92993,Jeff Hawkins,"'Cornell University', 'University of California, Berkeley', 'Cornell University College of Engineering', 'Harborfields High School'",,,artificial intelligence researcher
53,Q93151,Avinash Kak,'Indian Institute of Technology Delhi',,,artificial intelligence researcher
54,Q93123,Steve Grand,,,'Officer of the Order of the British Empire',artificial intelligence researcher
55,Q335027,Seymour Papert,"'University of Cambridge', 'University of Geneva', 'University of the Witwatersrand', ""St John's College""",'cognitive science',"'Marconi Prize', 'Guggenheim Fellowship'",artificial intelligence researcher
56,Q822778,Bernard Widrow,'Massachusetts Institute of Technology','electrical engineering',"'Benjamin Franklin Medal', 'IEEE Alexander Graham Bell Medal', 'IEEE Centennial Medal'",artificial intelligence researcher
57,Q2060461,Paul Jorion,'Université libre de Bruxelles',"'mathematics', 'epistemology', 'artificial intelligence', 'psychoanalysis', 'humanism', 'fishery', 'transhumanism', 'economic system', 'Q1369352', 'financial system', 'Q2108531', 'Posthumanism', 'mortgage-backed security trading'",,artificial intelligence researcher
58,Q2090838,Luc Steels,'University of Antwerp','artificial intelligence',,artificial intelligence researcher
59,Q4217810,Boris Katz,'Moscow State University',,,artificial intelligence researcher
60,Q92778,J. C. R. Licklider,"'University of Rochester', 'Washington University in St.\xa0Louis'",'computer science','Internet Hall of Fame',artificial intelligence researcher
61,Q92769,Scott E. Fahlman,'Massachusetts Institute of Technology','computer science','AAAI Fellow',artificial intelligence researcher
62,Q92892,Chris McKinstry,,,,artificial intelligence researcher
63,Q92916,Corinna Cortes,"'University of Rochester', 'Niels Bohr Institute'",,'Paris Kanellakis Award',artificial intelligence researcher
64,Q92995,Wolfgang Wahlster,'University of Hamburg','artificial intelligence',"'Saarland Order of Merit', 'German Future Prize', ""Commander's Cross of the Order of Merit of the Federal Republic of Germany"", ""Officer's Cross of the Order of Merit of the Federal Republic of Germany"", 'AAAI Fellow', 'Golden Duck Award', 'Karl Heinz Beckurts Award', 'honorary doctor of Linköping University'",artificial intelligence researcher
65,Q310798,Stephen Wolfram,"'University of Oxford', 'California Institute of Technology', 'Eton College', ""St John's College"", 'Dragon School'","'mathematics', 'physics', 'computer science'","'Friedrich L. Bauer Prize', 'MacArthur Fellows Program', 'Fellow of the American Mathematical Society'",artificial intelligence researcher
66,Q577146,Daniel Goossens,'Paris 8 University',,"""grand prix de la ville d'Angoulême""",artificial intelligence researcher
67,Q92844,David Marr,"'University of Cambridge', 'Trinity College', 'Rugby School'",,'IJCAI Computers and Thought Award',artificial intelligence researcher
68,Q3572699,Yoshua Bengio,'McGill University',"'artificial intelligence', 'deep learning'","'Turing Award', 'Prix Marie-Victorin', 'Acfas Urgel-Archambeault Award', 'Officer of the Order of Canada', 'AAAI Fellow', 'Fellow of the Royal Society of Canada'",artificial intelligence researcher
69,Q710266,Arthur Samuel,"'Massachusetts Institute of Technology', 'College of Emporia'",'machine learning',"'Computer Pioneer Award', 'Fellow of the American Physical Society'",artificial intelligence researcher
70,Q92735,Jürgen Schmidhuber,'Technical University of Munich','artificial intelligence',,artificial intelligence researcher
71,Q92820,Raj Reddy,"'Stanford University', 'University of New South Wales', 'Guindy Engineering College'","'artificial intelligence', 'robotics', 'human–computer interaction'","'IEEE Fellow', 'Turing Award', 'Knight of the Legion of Honour', 'Okawa Prize', 'AAAI Fellow', 'Padma Bhushan in science & engineering', 'Fellow of the Acoustical Society of America'",artificial intelligence researcher
72,Q687346,Armin B. Cremers,"'Karlsruhe Institute of Technology', 'University of Karlsruhe'",,,artificial intelligence researcher
73,Q2392290,Brian D. Ripley,'University of Cambridge',,"'Adams Prize', 'Rollo Davidson Prize', 'Fellow of the Royal Society of Edinburgh', 'Guy Medal in Silver'",artificial intelligence researcher
74,Q2846695,Andrew Y. Ng,"'Massachusetts Institute of Technology', 'University of California, Berkeley', 'Carnegie Mellon University', 'Raffles Institution'",,'IJCAI Computers and Thought Award',artificial intelligence researcher
75,Q3022082,Demetri Terzopoulos,"'Massachusetts Institute of Technology', 'McGill University'",,"'Academy Award for Technical Achievement', 'IEEE Fellow', 'Guggenheim Fellowship', 'Fellow of the Royal Society', 'ACM Fellow', 'Fellow of the Royal Society of Canada', 'PAMI Distinguished Researcher Award'",artificial intelligence researcher
76,Q3311842,Jorn Barger,,,,artificial intelligence researcher
77,Q3709938,Woody Bledsoe,"'University of California, Berkeley'",,'Herbrand Award',artificial intelligence researcher
78,Q92665,John F. Sowa,"'Harvard University', 'Massachusetts Institute of Technology', 'Harvard School of Engineering and Applied Sciences', 'Free University of Brussels'",,,artificial intelligence researcher
79,Q92823,Edward Feigenbaum,"'Carnegie Mellon University', 'Weehawken High School'",'computer science',"'Turing Award', 'Computer Pioneer Award', 'ACM Fellow', 'AAAI Fellow', 'Computer History Museum fellow'",artificial intelligence researcher
80,Q92981,Gerald Jay Sussman,'Massachusetts Institute of Technology','cognitive science',"'IEEE Fellow', 'AAAS Fellow', 'IJCAI Computers and Thought Award', 'ACM Fellow'",artificial intelligence researcher
81,Q391237,John Hopfield,"'Cornell University', 'Swarthmore College'",'biology',"'Benjamin Franklin Medal', 'Dirac Prize', 'Albert Einstein World Award of Science', 'Guggenheim Fellowship', 'MacArthur Fellows Program', 'Oliver E. Buckley Condensed Matter Prize', 'Max Delbruck Prize', 'IEEE Frank Rosenblatt Award', 'Harold Pender Award', 'Swartz Prize', 'ICTP Dirac Medal', 'Fellow of the American Physical Society', 'AAAS Fellow'",artificial intelligence researcher
82,Q611080,Roger Schank,"'University of Texas at Austin', 'Carnegie Mellon University'","'artificial intelligence', 'education science'",,artificial intelligence researcher
83,Q770584,Hal Abelson,"'Princeton University', 'Massachusetts Institute of Technology'","'law', 'ethics', 'computer science', 'informatics'",'IEEE Fellow',artificial intelligence researcher
84,Q1176469,David S. Touretzky,"'Carnegie Mellon University', 'Rutgers University'",,'ACM Distinguished Member',artificial intelligence researcher
85,Q1905174,Martin Vingron,'Heidelberg University',,"'Max Planck Research Award', 'ISCB Fellow'",artificial intelligence researcher
86,Q3442370,Rose Dieng Kuntz,"'École polytechnique', 'Télécom Paris'",'artificial intelligence',"'Irène-Joliot-Curie Prize', 'Knight of the Legion of Honour'",artificial intelligence researcher
87,Q3992579,Tomaso A. Poggio,'University of Genoa',,"'Max Planck Research Award', 'Azriel Rosenfeld Award', 'Swartz Prize', 'AAAI Fellow', 'AAAS Fellow'",artificial intelligence researcher
88,Q4470008,Yorick Wilks,"'Pembroke College', ""Torquay Boys' Grammar School""",'artificial intelligence',"'Lovelace Medal', 'Fellow of the British Computer Society', 'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
89,Q11590,Phyllis Fox,"'Massachusetts Institute of Technology', 'Wellesley College', 'University of Colorado'",,,artificial intelligence researcher
90,Q11770,Amy L. Lansky,,,,artificial intelligence researcher
91,Q14254,Karen Spärck Jones,'Girton College','computer science',"'Lovelace Medal', 'Gerard Salton Award', 'AAAI Fellow', 'Fellow of the British Academy', 'ACM - AAAI Allen Newell Award', 'Athena Lecturer'",artificial intelligence researcher
92,Q51781,Katia Sycara,"'Brown University', 'University of Wisconsin–Madison', 'Georgia Institute of Technology', 'University of Wisconsin–Milwaukee'","'artificial intelligence', 'Semantic Web'",'AAAI Fellow',artificial intelligence researcher
93,Q11644,Ayanna Howard,"'University of Southern California', 'Brown University', 'Claremont Graduate University', 'USC Viterbi School of Engineering'",,,artificial intelligence researcher
94,Q14109,Rosalind Picard,"'Massachusetts Institute of Technology', 'Georgia Institute of Technology', 'Berry College'",,'IEEE Fellow',artificial intelligence researcher
95,Q16118,Manuela M. Veloso,"'Boston University', 'Carnegie Mellon University', 'Instituto Superior Técnico'",,"'ACM Fellow', 'AAAI Fellow', 'Mulheres na Ciência'",artificial intelligence researcher
96,Q10959,Ruzena Bajcsy,"'Stanford University', 'Slovak University of Technology in Bratislava'","'artificial intelligence', 'robotics', 'computer vision'","'IEEE Fellow', 'Benjamin Franklin Medal', 'IEEE Robotics and Automation Award', 'Anita Borg Institute Women of Vision Awards', 'ACM Fellow', 'AAAI Fellow', 'ACM - AAAI Allen Newell Award', 'AAAS Fellow', 'ACM Distinguished Service Award', 'NCWIT Pioneer in Tech Award'",artificial intelligence researcher
97,Q11755,Daphne Koller,"'Stanford University', 'Hebrew University of Jerusalem'",'machine learning',"'MacArthur Fellows Program', 'IJCAI Computers and Thought Award', 'AAAI Fellow', 'ISCB Fellow', 'ACM Prize in Computing', 'AAAS Fellow', 'Continuing Bass University Fellow in Undergraduate Education'",artificial intelligence researcher
98,Q62901,Sebastian Thrun,"'University of Bonn', 'University of Hildesheim'","'machine learning', 'robotics'","'Braunschweiger Forschungspreis', 'Max Planck Research Award', 'AAAI Fellow', 'The James Smithson Bicentennial Medal'",artificial intelligence researcher
99,Q14234,Sarit Kraus,'Hebrew University of Jerusalem',"'artificial intelligence', 'computer science'","'IJCAI Computers and Thought Award', 'The EMET Prize for Art, Science and Culture', 'ACM Fellow', 'AAAI Fellow', 'Athena Lecturer'",artificial intelligence researcher
100,Q4730800,Allan M. Collins,'University of Michigan',,"'Guggenheim Fellowship', 'Fellow of the Cognitive Science Society'",artificial intelligence researcher
101,Q4760523,Andy Clark,,"'logic', 'metaphysics'","'Fellow of the Royal Society of Edinburgh', 'Fellow of the British Academy'",artificial intelligence researcher
102,Q4794554,Arne Eigenfeldt,,,,artificial intelligence researcher
103,Q4816115,Catherine G. Wolf,"'Brown University', 'Tufts University'",,,artificial intelligence researcher
104,Q5230969,David B. Fogel,"'University of California, San Diego'",,'IEEE Fellow',artificial intelligence researcher
105,Q5295258,Donald W. Loveland,"'Massachusetts Institute of Technology', 'New York University', 'Oberlin College'",'computer science',"'Herbrand Award', 'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
106,Q5490605,Frank van Harmelen,"'University of Edinburgh', 'Vrije Universiteit Amsterdam'",'Semantic Web',,artificial intelligence researcher
107,Q5675083,Hartmut Neven,"'Ruhr University Bochum', 'Max Planck Institute for Biological Cybernetics'",'physics',,artificial intelligence researcher
108,Q5967606,I-Chen Wu,"'National Taiwan University', 'Carnegie Mellon University'",,,artificial intelligence researcher
109,Q5981834,Ian R. Horrocks,"'University of Manchester', 'Victoria University of Manchester'",,"'Fellow of the British Computer Society', 'Fellow of the Royal Society'",artificial intelligence researcher
110,Q6141364,James Popple,'Australian National University',,,artificial intelligence researcher
111,Q6288679,Josh Bongard,"'University of Zurich', 'McMaster University', 'University of Sussex'","'evolutionary computation', 'Evolutionary robotics'",'Presidential Early Career Award for Scientists and Engineers',artificial intelligence researcher
112,Q6387625,Ken Forbus,'Massachusetts Institute of Technology',,"'ACM Fellow', 'AAAI Fellow', 'Fellow of the Cognitive Science Society'",artificial intelligence researcher
113,Q6829382,Michael Collins,'University of Cambridge',,'Fellow of the Association for Computational Linguistics',artificial intelligence researcher
114,Q7174922,Peter Jackson,'University of Leeds',,,artificial intelligence researcher
115,Q4711956,Alberto Broggi,'University of Parma',,,artificial intelligence researcher
116,Q5307654,Igor Aleksander,'Queen Mary University of London',,'Fellow of the Royal Academy of Engineering',artificial intelligence researcher
117,Q4706277,Alan Bundy,'University of Leicester',,"'Herbrand Award', 'Fellow of the British Computer Society', 'Fellow of the Royal Society of Edinburgh', 'IJCAI Award for Research Excellence', 'Commander of the Order of the British Empire', 'Fellow of the Royal Society', 'Fellow of the Royal Academy of Engineering', 'ACM Fellow', 'AAAI Fellow', 'Fellow of the Institution of Engineering and Technology', 'EurAI Fellow'",artificial intelligence researcher
118,Q4750428,Ana María Cetto,"'Harvard University', 'National Autonomous University of Mexico'",,,artificial intelligence researcher
119,Q4806193,Ashwin Ram,"'Yale University', 'Indian Institute of Technology Delhi'",,,artificial intelligence researcher
120,Q5112374,Christopher G. Atkeson,"'Harvard University', 'Massachusetts Institute of Technology', 'Harvard School of Engineering and Applied Sciences'",,,artificial intelligence researcher
121,Q5240638,David Vernon,,,,artificial intelligence researcher
122,Q5486203,Frank Dellaert,"'Carnegie Mellon University', 'Katholieke Universiteit Leuven', 'Case Western Reserve University'",,,artificial intelligence researcher
123,Q4757923,Andrew McCallum,"'University of Massachusetts Amherst', 'Dartmouth College', 'University of Rochester'",,"'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
